Generator,Lat,Lon,beta,Pg
0,54.67662,9.240974,7.348288,394.67
1,54.32595,10.16839,11.05522,272.82
2,54.10746,12.15466,7.309423,633.89
3,53.93416,9.224419,5.235497,1021.8
4,53.53281,9.725904,5.465544,1654.6
5,53.46262,9.450579,5.551033,605.9
6,53.44506,10.46338,7.551534,288.52
7,53.57673,8.058781,4.60262,2621.1
8,53.31002,9.86215,11.42494,72.707
9,53.3004,8.435681,8.820836,240.48
10,53.31002,7.217066,10.89365,996.17
11,53.06268,8.585272,10.32898,118.68
12,53.06268,8.349279,5.549651,1606
13,52.92063,8.87043,7.084298,438.05
14,52.58735,13.18713,6.724025,271.3
15,52.47969,13.88528,17.29298,120.11
16,52.20937,13.37396,10.23393,1197.6
17,52.48417,9.218474,7.44805,466.85
18,52.28763,10.7977,10.89837,320.93
19,52.24551,9.961897,9.587603,258.96
20,52.32972,8.831098,7.688188,1189.8
21,52.26357,10.43388,5.621273,649.97
22,52.43162,7.29573,9.255198,2014.9
23,52.16114,11.10253,7.584091,592.32
24,51.75257,14.39125,8.495207,3279.6
25,52.20924,7.934877,6.228678,1957.1
26,52.11286,8.899929,6.529134,1581.9
27,51.53474,14.43744,0.8231219,2016.8
28,51.70179,9.783135,6.678324,417.35
29,51.37769,14.51212,6.810271,239.56
30,51.37769,11.81433,13.32469,588.35
31,51.64349,7.874969,11.97054,930.84
32,51.57344,8.081766,10.45286,596.18
33,51.25517,12.35576,11.69502,171.01
34,51.0561,13.67198,10.36462,272.56
35,51.62599,7.113583,15.25176,1111.1
36,51.62015,6.71879,5.482369,3589.9
37,51.55007,7.010185,8.054437,1110
38,51.51498,7.26398,1.731023,1670
39,51.38024,7.414378,5.034762,496.9
40,51.29803,7.705773,11.47571,118.75
41,50.93811,9.190946,5.800636,592
42,50.57403,12.96681,9.160335,397.68
43,51.05642,6.681191,10.54924,2232.6
44,50.94403,6.71879,15.51304,3790.1
45,50.57838,11.73032,10.47779,480.41
46,50.8373,6.483794,3.691713,4598.5
47,50.0773,8.683355,9.415475,1186.8
48,50.10745,8.918351,7.535167,109.62
49,49.90377,10.02203,9.34758,98.237
50,49.99881,8.288562,16.35586,374.91
51,49.79294,9.096948,25.98186,73.353
52,49.61994,10.96209,8.426124,922.79
53,49.93835,6.859788,6.489793,1762
54,49.641,8.467159,5.996971,1982.6
55,49.41001,11.30391,8.370287,2427.8
56,49.33783,12.05221,6.700445,508.75
57,49.30976,9.109844,6.587939,2459.9
58,49.28667,8.41076,4.828946,3714.2
59,48.46229,8.511521,5.2712,1791.2
60,48.6862,13.28404,4.449931,775.63
61,48.34645,8.530386,6.628912,1169.3
62,48.88704,11.34694,7.626219,2489.3
63,48.64724,12.42857,7.201922,1601.7
64,48.35899,7.992735,10.44653,936.39
65,48.52365,11.78942,5.095346,2031.4
66,48.56227,10.2471,6.8735,279.2
67,47.68394,7.888978,14.68989,0.10979
68,47.63947,7.733342,8.868538,1.6745
